timestamp,basis,rank,currency,score
2026-08-06T01:00:52+00:00,today,1,KRW,0.3008
2026-08-06T01:00:52+00:00,today,2,TWD,0.0870
2026-08-06T01:00:52+00:00,today,3,IDR,0.0435
2026-08-06T01:00:52+00:00,today,4,MYR,0.0358
2026-08-06T01:00:52+00:00,today,5,SEK,0.0131
2026-08-06T01:00:52+00:00,today,6,RUB,0.0018
2026-08-06T01:00:52+00:00,today,7,CNY,0.0004
2026-08-06T01:00:52+00:00,today,8,AED,-0.0028
2026-08-06T01:00:52+00:00,today,9,AUD,-0.0051
2026-08-06T01:00:52+00:00,today,10,USD,-0.0066
2026-08-06T01:00:52+00:00,today,11,MXN,-0.0066
2026-08-06T01:00:52+00:00,today,12,NOK,-0.0066
2026-08-06T01:00:52+00:00,today,13,TRY,-0.0066
2026-08-06T01:00:52+00:00,today,14,SAR,-0.0066
2026-08-06T01:00:52+00:00,today,15,CAD,-0.0095
2026-08-06T01:00:52+00:00,today,16,PLN,-0.0104
2026-08-06T01:00:52+00:00,today,17,SGD,-0.0106
2026-08-06T01:00:52+00:00,today,18,HKD,-0.0147
2026-08-06T01:00:52+00:00,today,19,EUR,-0.0182
2026-08-06T01:00:52+00:00,today,20,DKK,-0.0200
2026-08-06T01:00:52+00:00,today,21,THB,-0.0203
2026-08-06T01:00:52+00:00,today,22,CHF,-0.0216
2026-08-06T01:00:52+00:00,today,23,ZAR,-0.0302
2026-08-06T01:00:52+00:00,today,24,GBP,-0.0335
2026-08-06T01:00:52+00:00,today,25,JPY,-0.0360
2026-08-06T01:00:52+00:00,today,26,NZD,-0.0383
2026-08-06T01:00:52+00:00,today,27,BRL,-0.0385
2026-08-06T01:00:52+00:00,today,28,INR,-0.0460
2026-08-06T01:00:52+00:00,today,29,ILS,-0.0937
2026-08-06T02:09:53+00:00,1H,1,KRW,0.1855
2026-08-06T02:09:53+00:00,1H,2,NZD,0.1847
2026-08-06T02:09:53+00:00,1H,3,TWD,0.0952
2026-08-06T02:09:53+00:00,1H,4,NOK,0.0473
2026-08-06T02:09:53+00:00,1H,5,JPY,0.0369
2026-08-06T02:09:53+00:00,1H,6,CHF,0.0201
2026-08-06T02:09:53+00:00,1H,7,INR,0.0176
2026-08-06T02:09:53+00:00,1H,8,MYR,0.0149
2026-08-06T02:09:53+00:00,1H,9,GBP,0.0137
2026-08-06T02:09:53+00:00,1H,10,ILS,0.0088
2026-08-06T02:09:53+00:00,1H,11,SGD,0.0081
2026-08-06T02:09:53+00:00,1H,12,CAD,-0.0027
2026-08-06T02:09:53+00:00,1H,13,AUD,-0.0067
2026-08-06T02:09:53+00:00,1H,14,SEK,-0.0120
2026-08-06T02:09:53+00:00,1H,15,ZAR,-0.0165
2026-08-06T02:09:53+00:00,1H,16,CNY,-0.0177
2026-08-06T02:09:53+00:00,1H,17,HKD,-0.0235
2026-08-06T02:09:53+00:00,1H,18,DKK,-0.0250
2026-08-06T02:09:53+00:00,1H,19,TRY,-0.0267
2026-08-06T02:09:53+00:00,1H,20,EUR,-0.0281
2026-08-06T02:09:53+00:00,1H,21,USD,-0.0317
2026-08-06T02:09:53+00:00,1H,22,MXN,-0.0317
2026-08-06T02:09:53+00:00,1H,23,SAR,-0.0317
2026-08-06T02:09:53+00:00,1H,24,AED,-0.0317
2026-08-06T02:09:53+00:00,1H,25,RUB,-0.0400
2026-08-06T02:09:53+00:00,1H,26,THB,-0.0454
2026-08-06T02:09:53+00:00,1H,27,PLN,-0.0471
2026-08-06T02:09:53+00:00,1H,28,IDR,-0.0873
2026-08-06T02:09:53+00:00,1H,29,BRL,-0.1275
